"","...1","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_val_adj_safe"
"1","Dmrt2",9.55228912505489e-13,2.0729374288553,0.024,0.006,2.96627234200329e-08,0,"Dmrt2",2.96627234200329e-08
"2","Klrc2",7.06680218859806e-14,2.02176130589667,0.021,0.004,2.19445408362536e-09,0,"Klrc2",2.19445408362536e-09
"3","Cd209g",6.8725178421442e-29,1.76201898615157,0.063,0.019,2.13412296552104e-24,0,"Cd209g",2.13412296552104e-24
"4","Rhox8",5.86221598366603e-17,1.64981895183774,0.05,0.019,1.82039392940781e-12,0,"Rhox8",1.82039392940781e-12
"5","Col27a1",1.10059434651644e-43,1.62349320852929,0.132,0.051,3.41767562423749e-39,0,"Col27a1",3.41767562423749e-39
"6","Gm10489",7.62771657866073e-10,2.62125372063891,0.012,0.002,2.36863482917152e-05,1,"Gm10489",2.36863482917152e-05
"7","Il10.1",3.37222306693171e-157,2.2656663326068,0.411,0.152,1.0471764289743e-152,1,"Il10",1.0471764289743e-152
"8","Wscd1",1.03130665533906e-12,1.87928606201322,0.023,0.005,3.20251655682438e-08,1,"Wscd1",3.20251655682438e-08
"9","Il6.1",0,1.86244745185198,0.655,0.209,0,1,"Il6",2.2250738585072e-294
"10","Fzd8",4.75065477139595e-09,1.80809582369228,0.024,0.008,0.00014752208261615,1,"Fzd8",0.00014752208261615
"11","Retnla",2.42138445340297e-22,6.65998941042317,0.023,0.002,7.51912514315225e-18,2,"Retnla",7.51912514315225e-18
"12","Gm31410",3.11989865660322e-32,6.49309325247382,0.019,0,9.68822129834997e-28,2,"Gm31410",9.68822129834997e-28
"13","Ccl22",3.10066297001799e-28,5.79975477314264,0.021,0.001,9.62848872079686e-24,2,"Ccl22",9.62848872079686e-24
"14","Gpr162.2",5.63234167632163e-129,5.61768641195168,0.09,0.002,1.74901106074815e-124,2,"Gpr162",1.74901106074815e-124
"15","Olfr110",1.21168713120951e-28,5.54551827942707,0.018,0,3.76265204854489e-24,2,"Olfr110",3.76265204854489e-24
"16","Chil3.3",0,6.16129145598226,0.51,0.052,0,3,"Chil3",2.2250738585072e-294
"17","Prg4",1.9361660504555e-10,6.14906985870147,0.016,0.003,6.01237643647946e-06,3,"Prg4",6.01237643647946e-06
"18","Acpp.3",2.72535044798709e-104,5.85780470967405,0.07,0.002,8.4630307461343e-100,3,"Acpp",8.4630307461343e-100
"19","Abca6.3",4.34828393700743e-185,5.6828114489779,0.123,0.002,1.35027261095892e-180,3,"Abca6",1.35027261095892e-180
"20","Gm807.2",4.50653968979707e-77,5.47761207682015,0.053,0.001,1.39941576987268e-72,3,"Gm807",1.39941576987268e-72
"21","Fpr1.4",5.27804201665764e-27,1.62965798471153,0.622,0.625,1.6389903874327e-22,4,"Fpr1",1.6389903874327e-22
"22","Adcy4.4",3.01962534231326e-24,1.59945623216903,0.582,0.551,9.37684257548537e-20,4,"Adcy4",9.37684257548537e-20
"23","C4b.4",1.71216466152813e-48,1.50240839030764,0.796,0.743,5.31678492344329e-44,4,"C4b",5.31678492344329e-44
"24","H2-T23.3",3.21729966681196e-65,1.4138822555854,0.822,0.886,9.99068065535117e-61,4,"H2-T23",9.99068065535117e-61
"25","Abcc3.4",1.77060197194083e-45,1.39657947848452,0.756,0.848,5.49825030346787e-41,4,"Abcc3",5.49825030346787e-41
"26","C130073F10Rik",4.09181918056836e-160,6.09965213371413,0.108,0.001,1.27063261014189e-155,5,"C130073F10Rik",1.27063261014189e-155
"27","Tc2n.2",8.69710790317743e-199,5.90347312709223,0.151,0.003,2.70071291717369e-194,5,"Tc2n",2.70071291717369e-194
"28","Aqp5",1.03146965056109e-15,5.28420380366985,0.011,0,3.20302270588736e-11,5,"Aqp5",3.20302270588736e-11
"29","B4galnt4",1.99355549430599e-19,5.18579469406091,0.02,0.001,6.1905878764684e-15,5,"B4galnt4",6.1905878764684e-15
"30","Phex",1.93373290708628e-13,5.12672973139983,0.011,0,6.00482079637503e-09,5,"Phex",6.00482079637503e-09
"31","Pbk.3",0,7.45208499844406,0.586,0.004,0,6,"Pbk",2.2250738585072e-294
"32","Kif14.2",0,7.21778678367066,0.379,0.002,0,6,"Kif14",2.2250738585072e-294
"33","Sapcd2",8.26645583138165e-234,7.18171269318009,0.179,0.001,2.56698252931894e-229,6,"Sapcd2",2.56698252931894e-229
"34","Hist1h2af",3.36148180986573e-105,7.02972623877678,0.069,0,1.04384094641761e-100,6,"Hist1h2af",1.04384094641761e-100
"35","Gm10847",6.74498017623201e-29,6.9035438538989,0.014,0,2.09451869412533e-24,6,"Gm10847",2.09451869412533e-24
"36","Tacr1",1.27840031162529e-12,5.58768389110225,0.015,0,3.96981648769002e-08,7,"Tacr1",3.96981648769002e-08
"37","Chek1.3",2.08109741943945e-87,5.15132091778536,0.197,0.01,6.46243181658531e-83,7,"Chek1",6.46243181658531e-83
"38","Orc1.1",1.39085292585043e-22,4.73280446436633,0.066,0.004,4.31901559064335e-18,7,"Orc1",4.31901559064335e-18
"39","Gm3287",9.5192011303634e-20,4.7118312256911,0.029,0.001,2.95599752701175e-15,7,"Gm3287",2.95599752701175e-15
"40","Gm26544",1.90805686363763e-11,4.57646190359867,0.022,0.001,5.92508897865392e-07,7,"Gm26544",5.92508897865392e-07
"41","Gm38037.1",2.24731644152641e-57,7.01516574965757,0.066,0.001,6.97859174587195e-53,8,"Gm38037",6.97859174587195e-53
"42","Gm36635",2.59719445082481e-26,6.53235080125693,0.019,0,8.06506792814627e-22,8,"Gm36635",8.06506792814627e-22
"43","Drp2",4.38062689190293e-16,6.45008414262212,0.019,0,1.36031606874262e-11,8,"Drp2",1.36031606874262e-11
"44","Syndig1l",1.64585363676181e-13,6.4148861167052,0.019,0,5.11086929823646e-09,8,"Syndig1l",5.11086929823646e-09
"45","Syngr4.1",8.75564527953151e-34,6.31231661563737,0.047,0.001,2.71889052865292e-29,8,"Syngr4",2.71889052865292e-29
"46","Schip1",1.40467657277903e-226,9.49305238355289,0.114,0,4.36194216145072e-222,9,"Schip1",4.36194216145072e-222
"47","Gm10600",0,8.76811162974716,0.375,0.001,0,9,"Gm10600",2.2250738585072e-294
"48","Cdh13",0,8.64873239375789,0.318,0.001,0,9,"Cdh13",2.2250738585072e-294
"49","Ackr2",0,8.5823153238682,0.273,0.001,0,9,"Ackr2",2.2250738585072e-294
"50","E030013I19Rik",1.73697214167288e-31,8.47731599870279,0.023,0,5.39381959153681e-27,9,"E030013I19Rik",5.39381959153681e-27
